2023-11-13 12:36:19.342 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1312 ms
2023-11-13 12:36:20.105 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-13 12:36:20.287 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7e0f4f68, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b5ce42a, org.springframework.security.web.context.SecurityContextPersistenceFilter@17f58262, org.springframework.security.web.header.HeaderWriterFilter@161a2d32, org.springframework.security.web.csrf.CsrfFilter@814bc4b, org.springframework.security.web.authentication.logout.LogoutFilter@13b2366a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7d42734a, org.springframework.security.web.session.ConcurrentSessionFilter@49dccf39, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@43d1b699, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@bd73d42, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@22d3d1e2, org.springframework.security.web.session.SessionManagementFilter@37753cf4, org.springframework.security.web.access.ExceptionTranslationFilter@612c5c72, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5c1a3da6]
2023-11-13 12:36:20.564 WARN  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - Unable to start LiveReload server
2023-11-13 12:36:20.591 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-13 12:36:20.608 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-13 12:36:20.622 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 3.642 seconds (JVM running for 6.453)
2023-11-13 12:36:24.231 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-13 12:36:24.232 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-13 12:36:24.235 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 3 ms
