2023-11-12 02:16:53.200 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-12 02:16:53.205 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.8 on otaehun-ui-MacBookAir.local with PID 7305 (/Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/springboot/test01_5/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/springboot/test01_5)
2023-11-12 02:16:53.206 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-12 02:16:53.519 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-12 02:16:53.520 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-12 02:16:54.729 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-12 02:16:54.735 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-12 02:16:54.736 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-12 02:16:54.736 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-12 02:16:54.794 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-12 02:16:54.794 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1274 ms
2023-11-12 02:16:55.524 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@65b0abab, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@30d906a4, org.springframework.security.web.context.SecurityContextPersistenceFilter@60c64e75, org.springframework.security.web.header.HeaderWriterFilter@2b36063e, org.springframework.security.web.authentication.logout.LogoutFilter@38120cd, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@39eb0116, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@51243af4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@436f62fb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4e033685, org.springframework.security.web.session.SessionManagementFilter@1129d39b, org.springframework.security.web.access.ExceptionTranslationFilter@33a446da, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@541b4e07]
2023-11-12 02:16:55.690 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-12 02:16:55.929 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-12 02:16:55.954 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-12 02:16:55.966 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-12 02:16:55.979 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 3.118 seconds (JVM running for 4.927)
2023-11-12 02:17:00.592 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-12 02:17:00.593 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-12 02:17:00.595 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-12 02:18:12.875 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
